ID,Pair, Entry Price,Action,SL,TP,Time Open,Time Closed
07ba101d-d144-4477-ab80-fa93cd4689c2,USD/JPY,147.1,Buy,0,1,9/14/2023 3:35:55 PM,9/14/2023 5:38:37 PM,
a8ed5177-35af-4943-87d4-c2e8d04eae24,Gold,1911.48,Sell,0,1,9/13/2023 5:44:34 AM,9/14/2023 12:30:12 PM,
030a3deb-9048-403b-98b5-3622800b7b7f,EUR/USD,1.0742,Sell,0,1,9/13/2023 6:40:59 AM,9/14/2023 12:15:41 PM,
a66da9c2-8ee3-4bae-a478-64987819e0b1,GBP/USD,1.2495,Sell,0,1,9/14/2023 2:27:14 AM,9/14/2023 10:09:34 AM,
377517ec-7f61-4089-8055-460b6ce7a1e2,NZD/USD,0.5919,Sell,0,1,9/11/2023 11:08:52 AM,9/13/2023 2:43:48 AM,
1b5d9872-9ab7-48b2-8d8a-94bcc774e2e0,USD/JPY,146.35,Buy,0,1,9/11/2023 2:43:49 PM,9/12/2023 12:24:42 PM,
c5eac5f5-653f-457e-abc2-e50cefba9529,EUR/USD,1.0739,Sell,0,1,9/12/2023 5:55:08 AM,9/12/2023 11:32:24 AM,
effd1ce5-eaae-4019-8e56-03b5c049a4bd,Gold,1923,Sell,0,1,9/7/2023 12:05:37 PM,9/12/2023 11:02:34 AM,
a40b9a5d-9501-47a2-9155-d99180709e7f,GBP/USD,1.2523,Buy,1,0,9/11/2023 5:11:23 AM,9/12/2023 7:44:43 AM,
2a2dc2d6-5f84-467f-95c2-c359fc9c9c72,BTC/USD,27157.1,Buy,1,0,8/30/2023 4:12:06 PM,9/11/2023 2:46:46 PM,
bdee507e-70d6-40b0-87d9-d66d0cca799c,EUR/USD,1.0728,Buy,0,1,9/11/2023 5:06:39 AM,9/11/2023 2:23:03 PM,
da84515a-5038-47f3-9b72-f8d39a66e122,EUR/GBP,0.859,Sell,0,1,9/7/2023 2:18:37 PM,9/11/2023 1:30:07 PM,
0db4ecac-286f-45d1-9048-d2d458155556,EUR/USD,1.071,Buy,0,1,9/8/2023 5:21:56 AM,9/8/2023 2:07:20 PM,
2e941f8b-b926-4bc0-9981-9b753b7bd51a,EUR/USD,1.0731,Buy,1,0,9/6/2023 5:39:32 AM,9/7/2023 12:33:53 PM,
153086d8-d124-4ce3-b413-9a0812d11351,Gold,1917.96,Buy,0,1,9/7/2023 4:59:00 AM,9/7/2023 10:04:26 AM,
2290030f-c0ad-4210-b07d-1a8987d18c34,GBP/USD,1.2503,Sell,0,1,9/6/2023 10:36:33 PM,9/7/2023 7:10:56 AM,
9cb85a80-1cfa-4f6e-a945-9d0bc155ebcb,USD/JPY,147.35,Buy,0,1,9/6/2023 5:12:47 AM,9/6/2023 2:02:06 PM,
b65afbff-95fd-43a9-adcb-3331b39d9726,Gold,1926.58,Buy,1,0,9/6/2023 5:27:25 AM,9/6/2023 1:01:00 PM,
83cbffbc-95bf-476d-bf82-79801478106a,USD/CAD,1.3611,Buy,0,1,9/5/2023 1:19:58 PM,9/5/2023 2:43:17 PM,
863afbf6-9b68-49d4-bc01-515819e17843,EUR/GBP,0.8568,Sell,0,1,9/1/2023 2:37:40 PM,9/5/2023 2:08:36 PM,
4e7c09ac-4478-40fc-b744-37f37e21dac0,USOil,84.894,Buy,0,1,9/5/2023 12:33:14 PM,9/5/2023 1:00:21 PM,
578535e2-015b-4e47-acbe-d81112ed8fb5,Gold,1944.16,Buy,1,0,9/4/2023 5:43:21 AM,9/5/2023 11:28:38 AM,
b27e0e79-d283-49ef-9185-efac55dd134c,EUR/USD,1.078,Buy,1,0,9/4/2023 5:57:19 AM,9/5/2023 10:58:05 AM,
3901910c-877d-4d67-b5c5-ac3337df7daa,USD/CHF,0.8847,Buy,0,1,9/4/2023 2:06:27 PM,9/5/2023 7:54:41 AM,
e31d6c38-64e6-4f50-84cf-1bbf4cb8850e,Gold,1945.69,Sell,0,1,8/31/2023 1:03:12 PM,9/1/2023 2:19:25 PM,
bf39f73f-2ec9-4469-9d87-fbf8654662c7,GBP/AUD,1.957,Sell,0,1,8/30/2023 11:13:43 AM,9/1/2023 12:50:33 PM,
d3a6e319-27d9-4ddf-aaef-2e8959845556,EUR/USD,1.084,Buy,0,1,9/1/2023 5:20:14 AM,9/1/2023 12:31:28 PM,
b434d240-0fb3-4117-9f92-951f3a276fc3,USD/JPY,145.91,Buy,0,1,8/31/2023 1:05:39 PM,8/31/2023 1:52:30 PM,
b6ca2e37-06e1-4525-88cb-7f4ffa0ac9e7,USD/CAD,1.3556,Sell,0,1,8/31/2023 11:27:40 AM,8/31/2023 12:31:49 PM,
31b96ef9-3b58-4426-8036-d4cc8ba98f84,EUR/GBP,0.8605,Sell,0,1,8/29/2023 6:55:35 PM,8/31/2023 7:11:41 AM,
f71e0000-6191-4200-b979-5681caa320cb,USD/JPY,146.25,Sell,0,1,8/30/2023 9:27:15 PM,8/31/2023 1:03:12 AM,
f641263e-ca6d-4202-abf6-3862d3437f5a,USD/JPY,145.9,Sell,1,0,8/30/2023 3:05:50 PM,8/30/2023 7:56:12 PM,
6d5f68a6-7a71-435d-b4ae-202f5e2f342c,Gold,1937.08,Sell,1,0,8/30/2023 5:36:44 AM,8/30/2023 12:15:23 PM,
218106b7-399c-4f1f-9f08-a3899ebc2558,AUD/USD,0.6426,Sell,1,0,8/28/2023 4:08:47 PM,8/29/2023 3:35:42 PM,
c32d3284-c200-47ce-a786-21ce2b2b91bd,Gold,1922.46,Buy,0,1,8/29/2023 4:41:00 AM,8/29/2023 2:05:05 PM,
40dcb5a3-804c-42c0-8f3f-97290395ee05,EUR/USD,1.081,Buy,0,1,8/28/2023 6:08:51 AM,8/29/2023 2:02:20 PM,
35b19355-5c47-4844-b82f-b79e686e5ba6,GBP/USD,1.2618,Buy,1,0,8/29/2023 4:58:31 AM,8/29/2023 12:17:02 PM,
015f983e-3052-40d2-9434-d72c98fe0d0c,Gold,1915.01,Buy,0,1,8/28/2023 6:08:34 AM,8/28/2023 3:36:02 PM,
545559a1-1f3b-439f-834e-6a5d30a40acd,EUR/GBP,0.8557,Sell,1,0,8/23/2023 1:45:17 PM,8/28/2023 7:52:49 AM,
